Key,Type 类型,Context 所属场景/条目,Chinese (Simplified)(zh-CN),English (United States)(en-US)
News_006,新闻 News,新闻：BB-04，打破医学界难题，根治绝症！,仔细对比后就会发现在台上演讲的负责人就是希望孤儿院的其中一位职员刘志明,"A careful comparison reveals that the person speaking on stage is Liu Zhiming, one of the staff members at Hope Orphanage."
News_007,新闻 News,新闻：希望孤儿院火灾，院长下落不明！,希望孤儿院火灾，院长下落不明！,Hope Orphanage Fire; Director Missing!
News_008,新闻 News,新闻：希望孤儿院火灾，院长下落不明！,"今日（8月1日）接近清晨时分，位于郊外的希望孤儿院突发火灾。所幸事发当时以有几名孤儿院里的职员起身，他们第一时间发现事故向消防局报了案，并合理疏散在孤儿院里的孤儿们。消防员也随后赶到将火灾范围限制并扑灭由于职员们迅速的判断，本起火灾并无造成任何人员的伤亡。

正当一切看似有惊无险的结束时，却传出了孤儿院院长（陈志宏）失踪的消息。据几位职员所说，他们在就寝之前还有见过院长，但在火灾发生后的现在却不见他人，也无法与他取得联络。消防人士也没有在火灾现场找到疑似院长的人影。此情况已上报警方，并被判断为失踪。","In the early hours of today (August 1), a fire suddenly broke out at Hope Orphanage, located on the outskirts of town. Fortunately, several staff members were already awake when the incident occurred. They immediately reported the fire to the fire department and evacuated the children in an orderly manner. Firefighters soon arrived, contained the blaze, and extinguished it. Thanks to the staff's quick response, there were no casualties.

Just when it seemed the incident had ended without serious harm, news emerged that the orphanage director, Chen Zhihong, had gone missing. According to several staff members, they had seen the director before going to bed, but after the fire he was nowhere to be found and could not be contacted. Firefighters also found no sign of anyone matching the director at the scene. The matter has been reported to the police and is being treated as a missing-person case."
News_009,新闻 News,新闻：希望孤儿院火灾，院长下落不明！,正当一切看似有惊无险的结束时，却传出了孤儿院院长（陈志宏）失踪的消息。据几位职员所说，他们在就寝之前还有见过院长，但在火灾发生后的现在却不见他人，也无法与他取得联络。消防人士也没有在火灾现场找到疑似院长的人影。此情况已上报警方，并被判断为失踪。,"Just when it seemed the incident had ended without serious harm, news emerged that the orphanage director, Chen Zhihong, had gone missing. According to several staff members, they had seen the director before going to bed, but after the fire he was nowhere to be found and could not be contacted. Firefighters also found no sign of anyone matching the director at the scene. The matter has been reported to the police and is being treated as a missing-person case."
News_010,新闻 News,评论区,评论区,Comments
Comment_022,网络留言 Comment,评论区,幸好及时发现……,Thank goodness they noticed it in time…
Comment_023,网络留言 Comment,评论区,没说什么原因发生的火灾吗？,Did they say what caused the fire?
Comment_024,网络留言 Comment,评论区,院长卷款跑路了吧,The director probably took the money and ran.
Comment_025,网络留言 Comment,评论区,真的假的？！那这火不会也是院长放的吧,Seriously?! Then did the director start the fire too?
Comment_026,网络留言 Comment,评论区,那这群孤儿之后住哪啊？,Where are all those orphans going to stay now?
Comment_027,网络留言 Comment,评论区,一个小小的孤儿院却能够经营这么久，八成是有在背后干些不干净的勾当吧。,A tiny orphanage managed to operate for this long. They were probably doing something shady behind the scenes.
News_011,新闻 News,新闻：希望孤儿院火灾与院长失踪。事发前似乎有可疑迹象？,希望孤儿院火灾与院长失踪。事发前似乎有可疑迹象？,Hope Orphanage Fire and Director's Disappearance—Were There Suspicious Signs Before the Incident?
News_012,新闻 News,新闻：希望孤儿院火灾与院长失踪。事发前似乎有可疑迹象？,"希望孤儿院今日凌晨发生火灾，消防局接获报案后迅速赶往现场，成功控制火势，所幸院内儿童及职员均已及时疏散，并未造成人员伤亡。本报记者第一时间走访附近居民并得到了一下几点说法。

有居民表示，孤儿院的设备似乎一直都有在检点翻新，应该不太可能发生意外。也有居民表示，这一个月来陈志宏院长似乎每天都早出晚归，不太像他以前的作风。另一位居民则表示，当晚曾看到一辆黑色轿车停靠在孤儿院附近。


评论区已关闭","A fire broke out at Hope Orphanage early this morning. After receiving the emergency call, the fire department quickly arrived at the scene and successfully brought the blaze under control. Fortunately, all children and staff members were evacuated in time, and there were no casualties. Our reporter immediately interviewed nearby residents and gathered the following accounts.

One resident said the orphanage's facilities appeared to be regularly inspected and renovated, so an accidental fire seemed unlikely. Another said that for the past month, Director Chen Zhihong had been leaving early and returning late every day, which was unlike his usual behavior. A third resident reported seeing a black sedan parked near the orphanage that night.


Comments are closed."
News_013,新闻 News,新闻：希望孤儿院火灾与院长失踪。事发前似乎有可疑迹象？,有居民表示，孤儿院的设备似乎一直都有在检点翻新，应该不太可能发生意外。也有居民表示，这一个月来陈志宏院长似乎每天都早出晚归，不太像他以前的作风。另一位居民则表示，当晚曾看到一辆黑色轿车停靠在孤儿院附近。,"One resident said the orphanage's facilities appeared to be regularly inspected and renovated, so an accidental fire seemed unlikely. Another said that for the past month, Director Chen Zhihong had been leaving early and returning late every day, which was unlike his usual behavior. A third resident reported seeing a black sedan parked near the orphanage that night."
News_014,新闻 News,评论区,评论区,Comments
Comment_028,网络留言 Comment,评论区,评论区已关闭,Comments are closed.
News_015,新闻 News,新闻：希望孤儿院前身尽是？！这场大火恐怕早已注定……,希望孤儿院前身尽是？！这场大火恐怕早已注定……,Hope Orphanage Was Once WHAT?! Was This Fire Destined to Happen...?
News_016,新闻 News,新闻：希望孤儿院前身尽是？！这场大火恐怕早已注定……,希望孤儿院所在的位置，在数十年前疑似曾是一处墓园。本报记者相继采访了几位专业风水师，他们都纷纷表示火灾的发生都是当地阴气聚集所导致，甚至连院长失踪一事也可能与此原因有关……,"The site where Hope Orphanage now stands is suspected to have once been a cemetery several decades ago. Our reporter interviewed several professional feng shui masters, all of whom claimed that the fire was caused by an accumulation of negative energy in the area. Some even suggested that the director's disappearance may be connected to it..."
News_017,新闻 News,评论区,评论区,Comments
Comment_029,网络留言 Comment,评论区,风水都来了……,Now they're bringing feng shui into this…
Comment_030,网络留言 Comment,评论区,有些东西不能不信,There are some things you just can't dismiss.
Comment_031,网络留言 Comment,评论区,专家是谁？连名字都没有,Who are these experts? They didn't even give any names.
Scene_032,场景 Scene,蓝蝶制药公司官方网站,蓝蝶制药公司官方网站,Blue Morpho Pharmaceutical Company Official Website
Keyword_004,搜索关键词 Keyword,蓝蝶制药公司官方网站,"""蓝色蝴蝶"" ""蓝色 蝴蝶""","""blue butterfly"" ""blue butterfly"""
Scene_033,场景 Scene,蓝蝶制药公司官方网站,--探究科学的境界，愿将奇迹的蓝色蝴蝶带到每个人身边--,"-- Exploring the Frontiers of Science, Bringing the Miracle of the Blue Morpho to Everyone --"
Scene_034,场景 Scene,关于最新药物 「BB-04」的宣传,我们将在不久的将来带来奇迹,We will bring miracles in the near future.
Scene_035,场景 Scene,关于最新药物 「BB-04」的宣传,写了一些该药物的功效与它至于目前医疗界的重要突破。,Describes the drug's effects and the major breakthrough it represents for modern medicine.
Scene_036,场景 Scene,公园,公园,Park
Keyword_005,搜索关键词 Keyword,公园,"""地点：公园""","""Location: Park"""
Scene_037,场景 Scene,公园,孤儿院附近的一个小型公园，游具的种类也偏少。可以看到有一位年迈的老爷爷正在喂鸽子。,A small park near the orphanage with only a few types of playground equipment. An elderly man can be seen feeding pigeons.
Scene_038,场景 Scene,向老爷爷打听情报,向老爷爷打听情报,Ask the Elderly Man for Information
Dialogue_015,对话 Dialogue,向老爷爷打听情报,「我很常来这个公园散步喂喂鸽子什么的。附近孤儿院的孩子们时不时也会来这里，我也会跟他们玩。」,"""I come to this park pretty often to take walks and feed the pigeons. The children from the nearby orphanage come here from time to time too, and I play with them."""
Dialogue_016,对话 Dialogue,向老爷爷打听情报,「他们上一次来时跟我说今天有个运动会，邀请我去参观，没想到就发生了这种事。」,"""The last time they came, they told me they were having a sports day today and invited me to watch. I never expected something like this to happen."""
Dialogue_017,对话 Dialogue,向老爷爷打听情报,「话说有一次我偶然遇到陈院长，他什么也没说就让我帮忙保管一把钥匙，现在他出了这种事我该拿这钥匙怎么办呢？」,"""Come to think of it, I once ran into Director Chen by chance. Without explaining anything, he asked me to keep a key for him. Now that this has happened to him, I don't know what I should do with it."""
Dialogue_018,对话 Dialogue,向老爷爷打听情报,「要不这钥匙先给你吧，比起放在我这，你比较有可能从用这把钥匙调查出些什么。」,"""Why don't you take the key for now? Compared with leaving it with me, you're more likely to uncover something with it during your investigation."""
Scene_039,场景 Scene,向老爷爷打听情报,侦探资格测试练习题《失踪的猫》,"Detective Qualification Practice Test: ""The Missing Cat"""
Character_001,人物 Character,证人C : 赵先生,赵先生,Mr. Zhao
Dialogue_019,对话 Dialogue,证人C : 赵先生,"「大约下午3：30，我和我女儿刚好路过公园看到了小橘。因为它左边耳朵的缺口所以我很确定是小橘没错。我还用我手机拍了张我女儿和小橘的照片，这就是那时候的照片。」

赵先生女儿与小橘的照片
照片里能看到一名小女孩似乎蹑手蹑脚的要靠近一只爬着的橘猫。照片里可以很明显的看到猫的左耳上有个小缺口。","""At around 3:30 p.m., my daughter and I happened to pass by the park and saw Little Orange. I'm certain it was Little Orange because of the notch in its left ear. I even took a photo of my daughter with Little Orange on my phone. This is the photo from then.""

Photo of Mr. Zhao's Daughter and Little Orange
The photo shows a young girl apparently trying to sneak up on an orange cat lying on the ground. A small notch can clearly be seen on the cat's left ear."
Character_002,人物 Character,证人C : 赵先生,赵先生女儿与小橘的照片,Photo of Mr. Zhao's Daughter and Little Orange
Character_003,人物 Character,证人C : 赵先生,照片里能看到一名小女孩似乎蹑手蹑脚的要靠近一只爬着的橘猫。照片里可以很明显的看到猫的左耳上有个小缺口。,The photo shows a young girl apparently trying to sneak up on an orange cat lying on the ground. A small notch can clearly be seen on the cat's left ear.
Character_004,人物 Character,证人D : 陈先生, 陈先生,Mr. Chen
Dialogue_020,对话 Dialogue,证人D : 陈先生,「我今天下午一直都待在家。我确实有听到院子附近有狗叫声，之后还听见附近传来像猫叫的声音。」,"""I stayed home all afternoon today. I did hear a dog barking near the yard, and afterward I heard what sounded like a cat meowing nearby."""
Character_005,人物 Character,证人E : 周先生,周先生,Mr. Zhou
Dialogue_021,对话 Dialogue,证人E : 周先生,「差不多在下午3：55左右，我刚好需要用到一些工具就到了村里的公用仓库，我当时就在那附近看到了小橘。它那时候正悠闲地躺在仓库门口晒太阳。」,"""At around 3:55 p.m., I needed some tools, so I went to the village's communal storage shed. I saw Little Orange nearby. It was lying leisurely in the sun by the storage shed entrance."""
Photo_002,照片/图片 Photo,村里的地图,村里的地图,Village Map
Photo_003,照片/图片 Photo,村里的地图,![](flowam:img-1787584472766-7q5cir),![](flowam:img-1787584472766-7q5cir)
Case_001,案件资料 Case,委托内容,委托内容,Case Request
Case_002,案件资料 Case,委托内容,"委托人：张女士
我的猫「小橘」今天下午不见了。
小橘平时虽然会在附近活动，但通常不会离家太远。
今天下午，我发现它没有像往常一样回来。我寻找了一段时间后，仍然没有找到它。
幸运的是，有五名附近居民表示曾经见到小橘。
但他们提供的情报似乎并不完全一致。
请根据以下资料，判断哪些证人的证词可信。","Client: Ms. Zhang
My cat, ""Little Orange,"" went missing this afternoon.
Although Little Orange usually wanders around nearby, it normally doesn't go far from home.
This afternoon, I noticed it hadn't come back as usual. I searched for a while but still couldn't find it.
Fortunately, five nearby residents said they had seen Little Orange.
However, the information they provided does not seem entirely consistent.
Based on the information below, determine which witnesses' statements are reliable."
Dialogue_022,对话 Dialogue,委托内容,我的猫「小橘」今天下午不见了。,"My cat, ""Little Orange,"" went missing this afternoon."
Case_003,案件资料 Case,委托内容,小橘平时虽然会在附近活动，但通常不会离家太远。,"Although Little Orange usually wanders around nearby, it normally doesn't go far from home."
Case_004,案件资料 Case,委托内容,今天下午，我发现它没有像往常一样回来。我寻找了一段时间后，仍然没有找到它。,"This afternoon, I noticed it hadn't come back as usual. I searched for a while but still couldn't find it."
Case_005,案件资料 Case,委托内容,幸运的是，有五名附近居民表示曾经见到小橘。,"Fortunately, five nearby residents said they had seen Little Orange."
Case_006,案件资料 Case,委托内容,但他们提供的情报似乎并不完全一致。,"However, the information they provided does not seem entirely consistent."
Case_007,案件资料 Case,委托内容,请根据以下资料，判断哪些证人的证词可信。,"Based on the information below, determine which witnesses' statements are reliable."
Case_008,案件资料 Case,关于小橘,关于小橘,About Little Orange
Dialogue_023,对话 Dialogue,关于小橘,委托人「张女士」养的猫。于今天下午失踪。,"A cat owned by the client, Ms. Zhang. It went missing this afternoon."
Case_009,案件资料 Case,关于小橘,关于小橘，张女士如此说到：,Ms. Zhang says the following about Little Orange:
Dialogue_024,对话 Dialogue,关于小橘,「小橘是我4年前养的猫，是一只全身橘色毛发的猫。它非常怕狗因为它小时候被一只野狗咬伤了耳朵，所以左耳尖附近有一个明显的小缺口。下午三点我在打扫客厅的时候还有看到小橘。」,"""I adopted Little Orange four years ago. It has orange fur all over. It's extremely afraid of dogs because a stray dog bit its ear when it was young, leaving a noticeable notch near the tip of its left ear. I still saw Little Orange at 3:00 p.m. while I was cleaning the living room."""
Character_006,人物 Character,证人A : 王先生,王先生,Mr. Wang
Dialogue_025,对话 Dialogue,证人A : 王先生,"「我是名便利店员工，那段时间刚好是我的值班时间。在大约下午3：15时，我看到便利店的门口走过去一只橘猫。或许我可以调一下店外的监控看看是不是小橘。」
「有了，这是那时候拍到的照片。我记得它当时往公园的方向跑去了。」

便利店监控截图
画面中有一只全身橘色的猫。猫的左耳上有个小缺口。","""I work at a convenience store, and I happened to be on shift at the time. At around 3:15 p.m., I saw an orange cat walk past the store entrance. Maybe I can check the outdoor security footage to see whether it was Little Orange.""
""Found it. This is the image captured at the time. I remember it running toward the park.""

Convenience Store Security Footage
The image shows an orange cat. There is a small notch on its left ear."
Dialogue_026,对话 Dialogue,证人A : 王先生,「有了，这是那时候拍到的照片。我记得它当时往公园的方向跑去了。」,"""Found it. This is the image captured at the time. I remember it running toward the park."""
Character_007,人物 Character,证人A : 王先生,便利店监控截图,Convenience Store Security Footage
Character_008,人物 Character,证人A : 王先生,画面中有一只全身橘色的猫。猫的左耳上有个小缺口。,The image shows an orange cat. There is a small notch on its left ear.
Character_009,人物 Character,证人B : 李女士,李女士,Ms. Li
Dialogue_027,对话 Dialogue,证人B : 李女士,「下午4：00左右我刚好要出门，那时候我就看到小橘被一只狗追着往陈先生家的方向跑去了。」,"""At around 4:00 p.m., I was just about to head out when I saw Little Orange being chased by a dog toward Mr. Chen's house."""
Instruction_002,玩法说明 Instruction,玩法,玩法,How to Play
Instruction_003,玩法说明 Instruction,玩法,"1. 不要移动盘面
2. 先读导入，之后随意调查
3. 上网搜寻按ctrl + F，先输入『""""』,再之间输入关键词。","1. Do not move the board.
2. Read the introduction first, then investigate freely.
3. To search online, press Ctrl + F. First enter a quotation mark (""), then type the keyword between the quotation marks."
Instruction_004,玩法说明 Instruction,玩法,"```
例：""关键词""
```","```
Example: ""keyword""
```"
Instruction_005,玩法说明 Instruction,玩法,"4. 出外调查按按ctrl + F，先输入『""地点：""』,再冒号后输入地点名。","4. To investigate outside locations, press Ctrl + F. First enter ""Location:"", then type the location name after the colon."
Instruction_006,玩法说明 Instruction,玩法,"```
例：""地点：地点名""
```","```
Example: ""Location: Location Name""
```"
Instruction_007,玩法说明 Instruction,玩法,注意输入法，如果不能就copy & paste,"Pay attention to your input method. If it doesn't work, copy & paste."
Instruction_008,玩法说明 Instruction,玩法,实体物品/线索,Physical Items / Clues
Instruction_009,玩法说明 Instruction,玩法,人物,Characters
Instruction_010,玩法说明 Instruction,玩法,照片/图片类,Photos / Images
Instruction_011,玩法说明 Instruction,玩法,搜寻关键字…,Enter Keyword…
Instruction_012,玩法说明 Instruction,玩法,记录为重要线索,Record as Important Clue
Character_010,人物 Character,玩家 / 侦探,玩家 / 侦探,Player / Detective
Character_011,人物 Character,陈志宏,陈志宏,Chen Zhihong
Character_012,人物 Character,陈志宏,希望孤儿院院长,Director of Hope Orphanage
Character_013,人物 Character,张慧玲,张慧玲,Zhang Huiling
Character_014,人物 Character,张慧玲,希望孤儿院生活照顾负责人,Head of Daily Care at Hope Orphanage
Character_015,人物 Character,张慧玲,本案委托人,Client in this case
Character_016,人物 Character,黄国良,黄国良,Huang Guoliang
Character_017,人物 Character,黄国良,希望孤儿院财政职员,Finance Staff at Hope Orphanage
Character_018,人物 Character,王秀丽,王秀丽,Wang Xiuli
Character_019,人物 Character,王秀丽,希望孤儿院生教育职员,Education Staff at Hope Orphanage
Character_020,人物 Character,林美华,林美华,Lin Meihua
Character_021,人物 Character,林美华,希望孤儿院生活职员,Care Staff at Hope Orphanage
Character_022,人物 Character,李秀芳,李秀芳,Li Xiufang
Character_023,人物 Character,李秀芳,希望孤儿院生活职员,Care Staff at Hope Orphanage
Character_024,人物 Character,刘志明*,刘志明*,Liu Zhiming*
Character_025,人物 Character,刘志明*,双重身份,Dual Identity
Character_026,人物 Character,刘志明*,希望孤儿院生活职员,Care Staff at Hope Orphanage
Character_027,人物 Character,刘志明*,"蓝蝶制药公司""BB-04""项目负责人","Project Lead for ""BB-04"" at Blue Morpho Pharmaceutical Company"
Character_028,人物 Character,刘志明*,不出意外就是幕后黑手,"Most likely the mastermind, unless something unexpected happens."
Character_029,人物 Character,公园老爷爷,公园老爷爷,Elderly Man at the Park
Character_030,人物 Character,公园老爷爷,经常来公园,Frequently visits the park
Character_031,人物 Character,公园老爷爷,帮院长保管钥匙,Keeps a key for the director
Character_032,人物 Character,公园老爷爷,将钥匙交给侦探,Hands the key to the detective
Character_033,人物 Character,义工A,义工A,Volunteer A
Character_034,人物 Character,义工A,好心福利院义工,Volunteer at Kindness Welfare Home
Character_035,人物 Character,义工B,义工B,Volunteer B
Character_036,人物 Character,义工B,好心福利院义工,Volunteer at Kindness Welfare Home
Character_037,人物 Character,孩子A,孩子A,Child A
Character_038,人物 Character,孩子A,从孤儿院转移来的孩子,Child transferred from the orphanage
Character_039,人物 Character,孩子B,孩子B,Child B
Character_040,人物 Character,孩子B,从孤儿院转移来的孩子,Child transferred from the orphanage
Character_041,人物 Character,孩子C,孩子C,Child C
Character_042,人物 Character,孩子C,从孤儿院转移来的孩子,Child transferred from the orphanage
Character_043,人物 Character,孩子C,提到刘老师拿着一张印有蓝色蝴蝶的卡,Mentions that Mr. Liu had a card printed with a blue butterfly
Character_044,人物 Character,NPC 1,NPC 1,NPC 1
Character_045,人物 Character,NPC 2,NPC 2,NPC 2
Character_046,人物 Character,NPC 3,NPC 3,NPC 3
Character_047,人物 Character,NPC 4,NPC 4,NPC 4
Character_048,人物 Character,NPC 5,NPC 5,NPC 5
Character_049,人物 Character,NPC 6,NPC 6,NPC 6
Character_050,人物 Character,NPC 7,NPC 7,NPC 7
Character_051,人物 Character,NPC 8,NPC 8,NPC 8
Character_052,人物 Character,NPC 9,NPC 9,NPC 9
Character_053,人物 Character,NPC 10,NPC 10,NPC 10
Character_054,人物 Character,喵喵：3,喵喵：3,MeowMeow：3
Item_012,物品/线索 Item,书架,书架,Bookshelf
Item_013,物品/线索 Item,书架,位置：家,Location: Home
Item_014,物品/线索 Item,书架,书架上整齐的摆着各式各样的书籍。,Various books are neatly arranged on the bookshelf.
Item_015,物品/线索 Item,书架,《侦探的自我修养》、《逻辑假想训练》、《记忆宫殿法》等等有助与本职的书籍。,"Books useful for detective work, such as ""The Detective's Guide to Self-Improvement,"" ""Hypothetical Logic Training,"" and ""The Memory Palace Method."""
Item_016,物品/线索 Item,书架,除此之外还有一些兴趣使然而收集的小说、漫画与杂志等。,"There are also novels, comics, magazines, and other books collected out of personal interest."
Item_017,物品/线索 Item,电脑,电脑,Computer
Item_018,物品/线索 Item,电脑,位置：家,Location: Home
Item_019,物品/线索 Item,电脑,可用于上网查询资料或浏览各种网站或社交媒体。,Can be used to search for information online or browse various websites and social media platforms.
Item_020,物品/线索 Item,线索板,线索板,Clue Board
Item_021,物品/线索 Item,线索板,位置：家,Location: Home
Item_022,物品/线索 Item,线索板,在这里整理所有相关的线索并推理出真相。,Organize all relevant clues here and deduce the truth.
Item_023,物品/线索 Item,急救箱,急救箱,First-Aid Kit
Item_024,物品/线索 Item,急救箱,位置：家,Location: Home
Item_025,物品/线索 Item,急救箱,在书架底层有一个小型的急救箱，上面有个蓝色蝴蝶的标志。,"There is a small first-aid kit on the bottom shelf of the bookshelf, marked with a blue butterfly logo."
Item_026,物品/线索 Item,急救箱,是你在开始独居后以防万一买的，不过庆幸的是你的身体很健康，到现在还没有这个急救箱出差的机会。,"You bought it just in case after you started living alone. Thankfully, you've been healthy enough that the first-aid kit hasn't had a chance to do its job yet."
Item_027,物品/线索 Item,运动用品,运动用品,Sports Supplies
Item_028,物品/线索 Item,运动用品,位置：希望孤儿院 · 入口处,Location: Hope Orphanage · Entrance
Item_029,物品/线索 Item,运动用品,入口处附近的角落放着一些运动用品，有呼啦圈、儿童沙包、跳绳、五颜六色的塑料球等，似乎原本是准备在今天的运动会上使用的。,"In a corner near the entrance are some sports supplies, including hula hoops, children's sandbags, jump ropes, and colorful plastic balls. They seem to have been prepared for today's sports day."
Item_030,物品/线索 Item,布告栏,布告栏,Bulletin Board
Item_031,物品/线索 Item,布告栏,位置：希望孤儿院 · 入口处,Location: Hope Orphanage · Entrance
Item_032,物品/线索 Item,布告栏,布告栏上贴着孩子们的作品、一些日常通知和希望孤儿院的职员结构图。,"The bulletin board displays the children's work, some daily notices, and Hope Orphanage's staff organization chart."
Item_033,物品/线索 Item,孩子们的作品,孩子们的作品,Children's Work
Item_034,物品/线索 Item,孩子们的作品,位置：希望孤儿院 · 入口处 · 布告栏上,Location: Hope Orphanage · Entrance · Bulletin Board
Item_035,物品/线索 Item,孩子们的作品,随便一些孩子们的作品如：画、作文、诗或其他。,"Any children's work, such as drawings, essays, poems, or other pieces."
Item_036,物品/线索 Item,日常通知,日常通知,Daily Notices
Item_037,物品/线索 Item,日常通知,位置：希望孤儿院 · 入口处 · 布告栏上,Location: Hope Orphanage · Entrance · Bulletin Board
Item_038,物品/线索 Item,日常通知,随便一些日常的通知如：运动会海报、这个星期的菜单、课程表或其他,"Any ordinary notices, such as a sports day poster, this week's menu, class schedule, or something similar."
Item_039,物品/线索 Item,希望孤儿院的职员结构图,希望孤儿院的职员结构图,Hope Orphanage Staff Organization Chart
Item_040,物品/线索 Item,希望孤儿院的职员结构图,位置：希望孤儿院 · 入口处 · 布告栏上,Location: Hope Orphanage · Entrance · Bulletin Board
Photo_004,照片/图片 Photo,希望孤儿院的职员结构图,![](flowam:img-1787584472765-9g6phi =813x417),![](flowam:img-1787584472765-9g6phi =813x417)
Item_041,物品/线索 Item,张慧玲桌位,张慧玲桌位,Zhang Huiling's Desk
Item_042,物品/线索 Item,张慧玲桌位,位置：希望孤儿院 · 职员室,Location: Hope Orphanage · Staff Room
Item_043,物品/线索 Item,张慧玲桌位,桌子角落贴着张慧玲的名字。桌上放着关于这次运动会的流程表。,Zhang Huiling's name is attached to the corner of the desk. The schedule for the sports day is on the desk.
Item_044,物品/线索 Item,王秀丽桌位,王秀丽桌位,Wang Xiuli's Desk
Item_045,物品/线索 Item,王秀丽桌位,位置：希望孤儿院 · 职员室,Location: Hope Orphanage · Staff Room
Item_046,物品/线索 Item,王秀丽桌位,桌子角落贴着王秀丽的名字。桌上放着批改到一半的作业。,Wang Xiuli's name is attached to the corner of the desk. Some half-graded homework is on the desk.
Item_047,物品/线索 Item,李秀芳桌位,李秀芳桌位,Li Xiufang's Desk
Item_048,物品/线索 Item,李秀芳桌位,位置：希望孤儿院 · 职员室,Location: Hope Orphanage · Staff Room
Item_049,物品/线索 Item,李秀芳桌位,桌子角落贴着李秀芳的名字。电脑荧幕边缘粘着一张提醒自己密码的小纸条。,Li Xiufang's name is attached to the corner of the desk. A small note reminding her of her password is stuck to the edge of the computer monitor.
Item_050,物品/线索 Item,密码的小纸条,密码的小纸条,Password Note
Item_051,物品/线索 Item,密码的小纸条,位置：希望孤儿院 · 职员室 · 李秀芳桌位,Location: Hope Orphanage · Staff Room · Li Xiufang's Desk
Item_052,物品/线索 Item,密码的小纸条,上面写着”密码是生日“。,"It says, ""The password is my birthday."""
Item_053,物品/线索 Item,密码的小纸条,*跟社交媒体上拍到的一样,*Same as the one photographed on social media
Item_054,物品/线索 Item,钥匙,钥匙,Key
Item_055,物品/线索 Item,钥匙,位置：公园 · 老爷爷给的,Location: Park · Given by the Elderly Man
Item_056,物品/线索 Item,钥匙,院长托老爷爷保管的钥匙。,A key the director asked the elderly man to keep for him.
Item_057,物品/线索 Item,钥匙,老爷爷转交给侦探。,The elderly man passes it on to the detective.
Item_058,物品/线索 Item,钥匙,用途不明。,Its purpose is unknown.
Item_059,物品/线索 Item,钥匙,*目前没用啊哈,*Currently useless lol
Item_060,物品/线索 Item,运动用品,运动用品,Sports Supplies
Item_061,物品/线索 Item,运动用品,入口处附近的角落放着一些运动用品，有呼啦圈、儿童沙包、跳绳、五颜六色的塑料球等，似乎原本是准备在今天的运动会上使用的。,"In a corner near the entrance are some sports supplies, including hula hoops, children's sandbags, jump ropes, and colorful plastic balls. They seem to have been prepared for today's sports day."
Item_062,物品/线索 Item,布告栏,布告栏,Bulletin Board
Item_063,物品/线索 Item,布告栏,布告栏上贴着孩子们的作品、一些日常通知和希望孤儿院的职员结构图。,"The bulletin board displays the children's work, some daily notices, and Hope Orphanage's staff organization chart."
Item_064,物品/线索 Item,张慧玲桌位,张慧玲桌位,Zhang Huiling's Desk
Item_065,物品/线索 Item,张慧玲桌位,桌子角落贴着张慧玲的名字。桌上放着关于这次运动会的流程表。,Zhang Huiling's name is attached to the corner of the desk. The schedule for the sports day is on the desk.
Item_066,物品/线索 Item,王秀丽桌位,王秀丽桌位,Wang Xiuli's Desk
Item_067,物品/线索 Item,王秀丽桌位,桌子角落贴着王秀丽的名字。桌上放着批改到一半的作业。,Wang Xiuli's name is attached to the corner of the desk. Some half-graded homework is on the desk.
Item_068,物品/线索 Item,李秀芳桌位,李秀芳桌位,Li Xiufang's Desk
Item_069,物品/线索 Item,李秀芳桌位,桌子角落贴着李秀芳的名字。电脑荧幕边缘粘着一张提醒自己密码的小纸条。,Li Xiufang's name is attached to the corner of the desk. A small note reminding her of her password is stuck to the edge of the computer monitor.
Item_070,物品/线索 Item,密码的小纸条,密码的小纸条,Password Note
Item_071,物品/线索 Item,密码的小纸条,上面写着”密码是生日“。,"It says, ""The password is my birthday."""
Item_072,物品/线索 Item,密码的小纸条,*跟社交媒体上拍到的一样,*Same as the one photographed on social media
Item_073,物品/线索 Item,钥匙,钥匙,Key
Item_074,物品/线索 Item,钥匙,院长托老爷爷保管的钥匙。,A key the director asked the elderly man to keep for him.
Item_075,物品/线索 Item,钥匙,老爷爷转交给侦探。,The elderly man passes it on to the detective.
Item_076,物品/线索 Item,钥匙,用途不明。,Its purpose is unknown.
Character_055,人物 Character,公园老爷爷,公园老爷爷,Elderly Man at the Park
Character_056,人物 Character,公园老爷爷,经常来公园,Frequently visits the park
Character_057,人物 Character,公园老爷爷,帮院长保管钥匙,Keeps a key for the director
Character_058,人物 Character,公园老爷爷,将钥匙交给侦探,Hands the key to the detective
Character_059,人物 Character,义工A,义工A,Volunteer A
Character_060,人物 Character,义工A,好心福利院义工,Volunteer at Kindness Welfare Home
Character_061,人物 Character,义工B,义工B,Volunteer B
Character_062,人物 Character,义工B,好心福利院义工,Volunteer at Kindness Welfare Home
Character_063,人物 Character,孩子A,孩子A,Child A
Character_064,人物 Character,孩子A,从孤儿院转移来的孩子,Child transferred from the orphanage
Character_065,人物 Character,孩子B,孩子B,Child B
Character_066,人物 Character,孩子B,从孤儿院转移来的孩子,Child transferred from the orphanage
Character_067,人物 Character,孩子C,孩子C,Child C
Character_068,人物 Character,孩子C,从孤儿院转移来的孩子,Child transferred from the orphanage
Character_069,人物 Character,孩子C,提到刘老师拿着一张印有蓝色蝴蝶的卡,Mentions that Mr. Liu had a card printed with a blue butterfly
Character_070,人物 Character,孩子C,希望孤儿院职员照片,Hope Orphanage Staff Photos
